Latitude,Longitude,Elevation
46.32963758,6.515169794,781.0
46.32948365,6.515037406,780.0
46.32934294,6.514875561,779.0
46.32921120,6.514698433,778.0
46.32907825,6.514523228,778.0
46.32893205,6.514372909,778.0
46.32877305,6.514252030,778.0
46.32860970,6.514143000,777.0
46.32844380,6.514042658,777.0
46.32827488,6.513953295,777.0
46.32810754,6.513858173,776.0
46.32793778,6.513773536,776.0
46.32776390,6.513707090,776.0
46.32758904,6.513646054,775.0
46.32741702,6.513571118,774.0
46.32725494,6.513460587,773.0
46.32709813,6.513333013,771.0
46.32693060,6.513244201,770.0
46.32675405,6.513196136,770.0
46.32657509,6.513172943,770.0
46.32639532,6.513168142,769.0
46.32621555,6.513161947,769.0
46.32603656,6.513138435,768.0
46.32585880,6.513099225,768.0
46.32568133,6.513056831,768.0
46.32550321,6.513020883,768.0
46.32532572,6.512979320,768.0
46.32514771,6.512943093,768.0
46.32496868,6.512945671,768.0
46.32479091,6.512983390,770.0
46.32461594,6.513042938,772.0
46.32443834,6.513066721,774.0
46.32426516,6.513007851,774.0
46.32409953,6.512907017,774.0
46.32394024,6.512786391,775.0
46.32377361,6.512690520,777.0
46.32360242,6.512610671,779.0
46.32343421,6.512518889,780.0
46.32327080,6.512410348,782.0
46.32311169,6.512289038,783.0
46.32295670,6.512156995,784.0
46.32281051,6.512005761,784.0
46.32266567,6.511851377,784.0
46.32251448,6.511710576,784.0
46.32236006,6.511577047,784.0
46.32220238,6.511451850,785.0
46.32204465,6.511326691,785.0
46.32189667,6.511179449,785.0
46.32175196,6.511024773,785.0
46.32159850,6.510889654,785.0
46.32144351,6.510757535,786.0
46.32129235,6.510616478,786.0
46.32114302,6.510471301,786.0
46.32099761,6.510318127,786.0
46.32085508,6.510159283,786.0
46.32071630,6.509993669,786.0
46.32058133,6.509821556,785.0
46.32044131,6.509658292,784.0
46.32029025,6.509517584,783.0
46.32013020,6.509399203,783.0
46.31996264,6.509305316,783.0
46.31978812,6.509244389,782.0
46.31960928,6.509223246,782.0
46.31943010,6.509239557,782.0
46.31925298,6.509283628,783.0
46.31907852,6.509346552,783.0
46.31890645,6.509422214,785.0
46.31873599,6.509505285,786.0
46.31856549,6.509588218,788.0
46.31839442,6.509668644,789.0
46.31822427,6.509753019,791.0
46.31806243,6.509865447,793.0
46.31791771,6.510018581,796.0
46.31778262,6.510190406,799.0
46.31763999,6.510348641,802.0
46.31746952,6.510412389,803.0
46.31729369,6.510370782,803.0
46.31711899,6.510308870,803.0
46.31694190,6.510263989,803.0
46.31676252,6.510249063,804.0
46.31658446,6.510280772,805.0
46.31640838,6.510333641,806.0
46.31623077,6.510374181,807.0
